facility_id,facility_name,facility_type,address,city,state,zip_code,phone,total_beds,is_active,created_date
FAC000001,Community Health Clinic - 26,Specialty Center,6625 Main St,Austin,IL,85324,555-156-4197,179.0,True,2024-06-16 23:53:57.926639
FAC000002,Urgent Care Facility - 251,Urgent Care,5003 Oak Ave,Philadelphia,FL,26697,555-697-9625,97.0,False,2025-04-21 23:53:57.926639
FAC000003,Family Practice Center - 143,Urgent Care,9339 Oak Ave,Philadelphia,IL,76577,555-327-5553,13.0,True,2024-12-05 23:53:57.926639
FAC000004,Community Health Clinic - 693,Specialty Center,9384 Healthcare Blvd,San Antonio,NY,23491,555-300-1369,94.0,True,2022-06-25 23:53:57.926639
FAC000005,Community Health Clinic - 605,Hospital,8956 Medical Pkwy,Chicago,AZ,63174,555-185-9821,117.0,True,2021-02-17 23:53:57.926639
FAC000006,Primary Care Associates - 33,Outpatient Center,6388 Oak Ave,New York,TX,24022,555-969-8298,,True,2025-07-18 23:53:57.926639
FAC000007,Central Medical Center - 96,Clinic,1384 Wellness Dr,Philadelphia,AZ,52712,555-793-2431,184.0,True,2023-02-23 23:53:57.926639
FAC000008,Family Practice Center - 239,Outpatient Center,5766 Main St,Houston,CA,82895,555-624-7462,207.0,True,2021-03-27 23:53:57.926639
FAC000009,Central Medical Center - 575,Urgent Care,1700 Healthcare Blvd,Houston,PA,95124,555-299-9035,20.0,True,2021-12-26 23:53:57.926639
FAC000010,Family Practice Center - 734,Specialty Center,3903 Main St,San Antonio,NY,19296,555-425-9381,78.0,True,2021-11-03 23:53:57.926639
FAC000011,Primary Care Associates - 226,Urgent Care,5680 Wellness Dr,Phoenix,PA,49599,555-157-6915,109.0,True,2024-11-03 23:53:57.926639
FAC000012,Advanced Healthcare Center - 604,Ambulatory Center,9858 Healthcare Blvd,Philadelphia,IL,79828,555-507-3423,288.0,False,2026-01-09 23:53:57.926639
FAC000013,Urgent Care Facility - 829,Urgent Care,5447 Main St,Chicago,FL,70420,555-833-8006,76.0,True,2023-08-10 23:53:57.926639
FAC000014,Central Medical Center - 778,Clinic,4578 Healthcare Blvd,Philadelphia,TX,62535,555-478-7326,10.0,True,2025-08-31 23:53:57.926639
FAC000015,Regional Hospital - 715,Hospital,8138 Oak Ave,San Diego,CA,87402,555-481-1199,32.0,True,2023-04-17 23:53:57.926639
FAC000016,Primary Care Associates - 349,Hospital,5929 Wellness Dr,San Diego,TX,64190,555-391-6651,87.0,True,2022-11-30 23:53:57.926639
FAC000017,Urgent Care Facility - 160,Ambulatory Center,6250 Healthcare Blvd,San Diego,FL,41270,555-459-6047,295.0,True,2022-08-13 23:53:57.926639
FAC000018,Family Practice Center - 981,Clinic,3143 Wellness Dr,Philadelphia,PA,91379,555-556-2435,53.0,True,2024-11-14 23:53:57.926639
FAC000019,Specialty Medical Center - 105,Specialty Center,6327 Main St,Phoenix,PA,41941,555-320-8278,156.0,True,2022-01-22 23:53:57.926639
FAC000020,Community Health Clinic - 390,Outpatient Center,4939 Oak Ave,San Diego,AZ,81820,555-859-7809,93.0,True,2025-01-16 23:53:57.926639
FAC000021,Community Health Clinic - 368,Specialty Center,1304 Main St,Dallas,FL,30843,555-922-8249,75.0,True,2025-10-28 23:53:57.926639
FAC000022,Specialty Medical Center - 619,Outpatient Center,4490 Oak Ave,Los Angeles,NY,73225,555-395-3683,62.0,True,2023-09-12 23:53:57.926639
FAC000023,Urgent Care Facility - 827,Hospital,6325 Oak Ave,Chicago,AZ,60307,555-925-7944,128.0,True,2022-03-09 23:53:57.926639
FAC000024,Central Medical Center - 748,Urgent Care,6483 Medical Pkwy,Austin,PA,18658,555-846-7786,89.0,True,2024-07-26 23:53:57.926639
FAC000025,Advanced Healthcare Center - 550,Urgent Care,6009 Main St,Los Angeles,IL,54658,555-242-2410,97.0,True,2022-08-08 23:53:57.926639
FAC000026,Community Health Clinic - 997,Ambulatory Center,1599 Main St,Phoenix,NY,37294,555-247-4404,43.0,True,2023-11-29 23:53:57.926639
FAC000027,Primary Care Associates - 81,Specialty Center,5150 Healthcare Blvd,Chicago,PA,87459,555-410-8776,68.0,True,2022-07-03 23:53:57.926639
FAC000028,Urgent Care Facility - 850,Clinic,5996 Medical Pkwy,Dallas,FL,66511,555-988-9606,196.0,True,2022-10-08 23:53:57.926639
FAC000029,Specialty Medical Center - 592,Outpatient Center,1774 Oak Ave,Houston,AZ,67062,555-443-2083,126.0,True,2024-09-22 23:53:57.926639
FAC000030,Family Practice Center - 722,Urgent Care,1530 Oak Ave,Phoenix,TX,84345,555-704-7156,147.0,True,2022-06-19 23:53:57.926639
FAC000031,Community Health Clinic - 47,Ambulatory Center,7161 Healthcare Blvd,Los Angeles,NY,54852,555-190-1108,138.0,True,2024-02-01 23:53:57.926639
FAC000032,Family Practice Center - 792,Specialty Center,9225 Wellness Dr,Los Angeles,FL,81372,555-519-5478,261.0,True,2023-04-30 23:53:57.926639
FAC000033,Urgent Care Facility - 82,Clinic,8495 Healthcare Blvd,New York,NY,40953,555-524-3865,,True,2023-01-25 23:53:57.926639
FAC000034,Family Practice Center - 888,Hospital,1792 Main St,Dallas,FL,32686,555-669-8571,,True,2022-05-11 23:53:57.926639
FAC000035,Community Health Clinic - 390,Clinic,1568 Medical Pkwy,New York,IL,96849,555-827-3243,,False,2025-01-12 23:53:57.926639
FAC000036,Urgent Care Facility - 465,Hospital,9180 Main St,Austin,IL,97766,555-304-4047,,True,2021-02-13 23:53:57.926639
FAC000037,Specialty Medical Center - 167,Specialty Center,9880 Wellness Dr,Austin,FL,20209,555-952-7254,282.0,True,2024-05-11 23:53:57.926639
FAC000038,Specialty Medical Center - 364,Clinic,5415 Healthcare Blvd,San Antonio,TX,85260,555-396-9037,,True,2021-04-30 23:53:57.926639
FAC000039,Family Practice Center - 687,Ambulatory Center,302 Medical Pkwy,Austin,TX,73783,555-143-5947,,True,2024-09-28 23:53:57.926639
FAC000040,Urgent Care Facility - 719,Specialty Center,6879 Healthcare Blvd,Houston,FL,24984,555-954-5979,50.0,True,2021-02-18 23:53:57.926639
FAC000041,Community Health Clinic - 624,Hospital,1487 Wellness Dr,New York,NY,87616,555-605-8593,,True,2024-05-27 23:53:57.926639
FAC000042,Regional Hospital - 547,Ambulatory Center,4077 Wellness Dr,Dallas,FL,88128,555-329-1439,155.0,True,2022-04-18 23:53:57.926639
FAC000043,Family Practice Center - 168,Urgent Care,8637 Oak Ave,Phoenix,FL,70674,555-910-1040,98.0,True,2023-04-28 23:53:57.926639
FAC000044,Advanced Healthcare Center - 389,Ambulatory Center,6337 Oak Ave,Dallas,CA,52647,555-257-5303,33.0,True,2023-04-18 23:53:57.926639
