plan_id,insurance_company,plan_name,plan_type,copay_amount,deductible_amount,out_of_pocket_max,is_active,created_date
INS000001,Anthem,Gold Plan 2021,POS,15.94,4229.32,6507.43,True,2025-10-12 23:53:57.950629
INS000002,Anthem,Silver Plan 2024,POS,79.33,2960.47,4396.45,True,2024-01-17 23:53:57.950629
INS000003,Medicaid,Standard Health Plan 2022,PPO,78.26,3626.95,5225.84,True,2024-09-02 23:53:57.950629
INS000004,Aetna,Standard Health Plan 2020,HMO,34.3,2870.7,8116.88,True,2026-01-04 23:53:57.950629
INS000005,Kaiser Permanente,Silver Plan 2021,EPO,26.11,2422.37,7343.87,True,2022-06-21 23:53:57.950629
INS000006,Medicare,Silver Plan 2025,EPO,78.84,738.48,9473.19,True,2021-10-03 23:53:57.950629
INS000007,Blue Cross Blue Shield,Bronze Plan 2024,HMO,40.38,1304.86,6087.19,True,2023-01-04 23:53:57.950629
INS000008,Cigna,Standard Health Plan 2025,EPO,55.04,3996.4,5997.47,True,2022-12-04 23:53:57.950629
INS000009,UnitedHealthcare,Standard Health Plan 2024,POS,85.17,3508.99,8537.14,True,2023-09-21 23:53:57.950629
INS000010,Cigna,Gold Plan 2023,POS,58.11,4345.57,4163.33,True,2023-03-07 23:53:57.950629
INS000011,Kaiser Permanente,Bronze Plan 2021,PPO,55.97,1817.73,3322.8,True,2024-08-15 23:53:57.950629
INS000012,Kaiser Permanente,Basic Coverage Plan 2020,EPO,53.31,2486.39,7363.3,False,2024-09-05 23:53:57.950629
INS000013,Kaiser Permanente,Family Health Plan 2022,EPO,65.29,3119.91,6477.51,False,2025-12-18 23:53:57.950629
INS000014,Medicaid,Family Health Plan 2024,PPO,80.69,3167.68,6037.49,True,2025-03-11 23:53:57.950629
INS000015,Blue Cross Blue Shield,Family Health Plan 2023,EPO,42.06,835.79,5706.87,True,2021-01-26 23:53:57.950629
INS000016,Anthem,Family Health Plan 2022,EPO,18.28,1476.34,8017.25,False,2025-05-22 23:53:57.950629
INS000017,Aetna,Standard Health Plan 2025,POS,25.88,1513.33,6628.77,True,2025-07-18 23:53:57.950629
INS000018,Cigna,Basic Coverage Plan 2020,PPO,82.59,1660.57,9992.39,True,2023-11-21 23:53:57.950629
INS000019,UnitedHealthcare,Premium Plus Plan 2022,POS,59.08,5186.21,9441.72,False,2023-11-03 23:53:57.950629
INS000020,Medicare,Silver Plan 2024,EPO,32.52,5270.97,5817.09,True,2023-07-21 23:53:57.950629
INS000021,Cigna,Silver Plan 2022,POS,11.64,2071.0,7083.11,True,2024-10-22 23:53:57.950629
INS000022,Blue Cross Blue Shield,Standard Health Plan 2025,EPO,92.25,4074.59,4137.08,True,2021-08-02 23:53:57.950629
INS000023,Cigna,Gold Plan 2024,EPO,82.39,1356.24,6710.73,False,2025-04-12 23:53:57.950629
INS000024,Humana,Premium Plus Plan 2020,PPO,81.4,2223.71,3834.7,False,2022-08-02 23:53:57.950629
INS000025,Anthem,Bronze Plan 2023,POS,17.78,5305.07,2943.31,False,2026-01-02 23:53:57.950629
INS000026,Aetna,Standard Health Plan 2021,POS,15.71,1043.57,9237.77,True,2024-06-18 23:53:57.950629
INS000027,Kaiser Permanente,Family Health Plan 2021,EPO,23.12,3223.43,2707.5,True,2022-03-28 23:53:57.950629
INS000028,Anthem,Bronze Plan 2021,POS,24.43,895.75,6647.8,True,2024-03-01 23:53:57.950629
INS000029,UnitedHealthcare,Family Health Plan 2021,HMO,83.37,553.21,2899.94,True,2023-06-26 23:53:57.950629
