id,kode_provinsi,nama_provinsi,judul_berita,klasifikasi_utama,klasifikasi_menyinggung,status_berita,bulan,jumlah_aduan,satuan,tahun
1,32,JAWA BARAT,RS HASAN SADIKIN BANDUNG ISOLASI PASIEN TERDUGA VIRUS CORONA,0,0,BENAR,JANUARI,19,ADUAN,2020
2,32,JAWA BARAT,"SELEBARAN BERLOGO POLDA METRO JAYA : WASPADA PENCULIKAN ANAK 12 TAHUN, PELAKU MENYAMAR SEBAGAI BUMIL",0,0,DISINFORMASI (HOAKS),JANUARI,6,ADUAN,2020
3,32,JAWA BARAT,"ARTI HURUF ARAB PADA BUKU IQRA 1, CORONA DICIPTAKAN PADA ZAMAN PENUH KEBOHONGAN",0,0,DISINFORMASI (HOAKS),JANUARI,3,ADUAN,2020
4,32,JAWA BARAT,"CIPANAS (PUNCAK) BARU SAJA DILANDA BANJIR BANDANG, ALIRAN AIRNYA BISA MASUK JKT BESOK PAGI",0,0,DISINFORMASI (HOAKS),JANUARI,3,ADUAN,2020
5,32,JAWA BARAT,"DITOLAK DI BERBAGAI NEGARA, RATUSAN TURIS CHINA DISAMBUT DI INONESIA",0,0,BENAR,JANUARI,3,ADUAN,2020
6,32,JAWA BARAT,DUA LAKI-LAKI PENIPU MENCARI DANA PAKAI BAJU LAMBANG PANCASILA,0,0,DISINFORMASI (HOAKS),JANUARI,3,ADUAN,2020
7,32,JAWA BARAT,KABAR PENEMUAN JENAZAH SISWA SEKOLAH DASAR DI KEMAYORAN,0,0,DISINFORMASI (HOAKS),JANUARI,3,ADUAN,2020
8,32,JAWA BARAT,VIRAL BAYI USIA 2 BULAN DI SUKABUMI MENINGGAL DIDUGA KARENA IMUNISASI,0,0,BENAR,JANUARI,3,ADUAN,2020
9,32,JAWA BARAT,APLIKASI WHATSAPP TELAH DIBLOKIR OLEH HACKER KELAS DUNIA BERINISIAL FFM,0,0,DISINFORMASI (HOAKS),JANUARI,2,ADUAN,2020
10,32,JAWA BARAT,BIAYA TILANG TERBARU DI INDONESIA,0,0,DISINFORMASI (HOAKS),JANUARI,2,ADUAN,2020
11,32,JAWA BARAT,"CORONA VIRUS UDAH NYAMPE KE BANDUNG, DI RSHS UDAH ADA 1 PASIEN YANG FIX CORONA VIRUS, 1 PASEIN SUSPECT",0,0,MISINFORMASI (HOAKS),JANUARI,2,ADUAN,2020
12,32,JAWA BARAT,DUA ORANG KENAKAN BAJU BERLAMBANG PANCASILA LAKUKAN HIPNOTIS BERMODUS MINTA BANTUAN PEDULI PULAU SEBUKU,0,0,DISINFORMASI (HOAKS),JANUARI,2,ADUAN,2020
13,32,JAWA BARAT,INFO KEPADA REKAN-REKAN : DI RSHS BANDUNG UDAH ADA PASIEN SUSPECT VIRUS CORONA RUJUKAN DARI RS CAHYA KAWALUYAAN,0,0,MISINFORMASI (HOAKS),JANUARI,2,ADUAN,2020
14,32,JAWA BARAT,"PEMBERITAHUAN KEMENTERIAN KESEHATAN : VIRUS CORONA KALI INI SERIUS, JAGA TENGGOROKAN TETAP LEMBAB, MINUMLAH 50-80 CC AIR HANGAT, 30-50 CC UNTUK ANAK-ANAK",0,0,DISINFORMASI (HOAKS),JANUARI,2,ADUAN,2020
15,32,JAWA BARAT,PENTING! KEMENKES RI SIAGAKAN 19 DAERAH WASPADA VIRUS CORONA,0,0,BENAR,JANUARI,2,ADUAN,2020
16,32,JAWA BARAT,ADA 136 PASIEN DALAM PENGAWASAN VIRUS CORONA DI INDONESIA,0,0,MISINFORMASI (HOAKS),FEBRUARI,22,ADUAN,2020
17,32,JAWA BARAT,HIMBAUAN DARI KBRI KL UNTUK TIDAK MENGKONSUMSI MAKANAN PRODUK CHINA,0,0,DISINFORMASI (HOAKS),FEBRUARI,17,ADUAN,2020
18,32,JAWA BARAT,MARET 2020 AKAN ADA PEMBUATAN SIM KOLEKTIF DI SELURUH SAMSAT INDONESIA,0,0,DISINFORMASI (HOAKS),FEBRUARI,13,ADUAN,2020
19,32,JAWA BARAT,PASIEN VIRUS CORONA DI APARTEMEN TAMAN ANGGREK,0,0,MISINFORMASI (HOAKS),FEBRUARI,8,ADUAN,2020
20,32,JAWA BARAT,VIDEO WARGA CHINA IKUT SHALAT GARA-GARA VIRUS CORONA,0,0,DISINFORMASI (HOAKS),FEBRUARI,8,ADUAN,2020
21,32,JAWA BARAT,INFORMASI UJI COBA TILANG ELEKTRONIK DI BOGOR,0,0,DISINFORMASI (HOAKS),FEBRUARI,7,ADUAN,2020
22,32,JAWA BARAT,PINGGIR TOL CIPULARANG KM 118 KEMBALI LONGSOR,0,0,BENAR,FEBRUARI,6,ADUAN,2020
23,32,JAWA BARAT,"INFO DARI DUBES KBRI : JANGAN MAKAN DULU PRODUKSI NEGERI CINA, PEKERJA PABRIKNYA PENGIDAP VIRUS CARONA",0,0,DISINFORMASI (HOAKS),FEBRUARI,5,ADUAN,2020
24,32,JAWA BARAT,"KOMPAS TV MENYIARKAN 5 PASIEN VIRUS CORONA DI SEMARANG, 1 ORANG MENINGGAL",0,0,DISINFORMASI (HOAKS),FEBRUARI,5,ADUAN,2020
25,32,JAWA BARAT,FOTO SEORANG ANAK LAKI-LAKI YANG TAMPAK SEDANG DIMANDIKAN DENGAN BEKAS JAHITAN DIBAGIAN PERUT BAWAH HINGGA BAGIAN DADA,0,0,DISINFORMASI (HOAKS),FEBRUARI,4,ADUAN,2020
26,32,JAWA BARAT,"HINDARI PENYEBARAN VIRUS, TIONGKOK MINTA PERSETUJUAN PENGADILAN UNTUK MEMBUNUH LEBIH DARI 20.000 PASIEN CORONAVIRUS",0,0,DISINFORMASI (HOAKS),FEBRUARI,4,ADUAN,2020
27,32,JAWA BARAT,INFO PEMBUATAN SIM KOLEKTIF,0,0,DISINFORMASI (HOAKS),FEBRUARI,4,ADUAN,2020
28,32,JAWA BARAT,MINYAK MASAK JENAMA ASRI ADALAH PRODUK SYARIKAT LEONG HUP PENTERNAK BABI TERBESAR DI MELAKA MALAYSIA,0,0,DISINFORMASI (HOAKS),FEBRUARI,4,ADUAN,2020
29,32,JAWA BARAT,MINYAK MASAK JENAMA ASRI MILIK SYARIKAT LEONG HUP PENTERNAK BABI TERBESAR DI MELAKA,0,0,DISINFORMASI (HOAKS),FEBRUARI,4,ADUAN,2020
